Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2021,DDoS,Banking,14.72,126781,Insider,Weak Passwords,Antivirus,32
Russia,2020,DDoS,Banking,33.99,851863,Insider,Weak Passwords,Firewall,25
France,2018,Ransomware,Banking,27.78,355077,Nation-state,Unpatched Software,VPN,65
UK,2020,Ransomware,Banking,16.91,952504,Hacker Group,Zero-day,AI-based Detection,45
France,2019,Man-in-the-Middle,Banking,28.29,929020,Nation-state,Weak Passwords,Antivirus,2
Germany,2021,Man-in-the-Middle,Banking,37.69,361849,Hacker Group,Zero-day,Firewall,63
USA,2017,Ransomware,Banking,42.19,157313,Hacker Group,Unpatched Software,Antivirus,47
France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43
UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39
Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23
USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52
Australia,2024,Phishing,Banking,70.52,601198,Insider,Zero-day,Encryption,41
Germany,2018,Malware,Banking,63.81,347441,Hacker Group,Social Engineering,Firewall,58
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71
India,2017,Ransomware,Banking,9.81,489620,Unknown,Unpatched Software,VPN,43
Germany,2018,Man-in-the-Middle,Banking,81.46,316299,Insider,Social Engineering,Firewall,66
USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13
UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26
China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54
UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8
USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2
UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30
Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15
Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30
France,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51
Australia,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12
India,2019,SQL Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40
UK,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37
Russia,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35
Brazil,2019,Ransomware,Banking,10.1,47737,Hacker Group,Social Engineering,Encryption,69
Russia,2021,Man-in-the-Middle,Banking,18.66,292992,Insider,Zero-day,Encryption,15
Australia,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25
India,2019,Phishing,Banking,18.42,289539,Nation-state,Unpatched Software,Antivirus,27
Australia,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49
Brazil,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66
Brazil,2017,Phishing,Banking,9.25,437974,Hacker Group,Zero-day,Encryption,20
Australia,2024,DDoS,Banking,21.11,18766,Insider,Weak Passwords,Firewall,43
France,2020,Malware,Banking,50.19,760230,Nation-state,Zero-day,VPN,56
Brazil,2017,SQL Injection,Banking,66.78,698892,Unknown,Zero-day,AI-based Detection,24
India,2020,Man-in-the-Middle,Banking,59.67,747418,Insider,Unpatched Software,VPN,20
France,2015,Phishing,Banking,64.62,104619,Insider,Unpatched Software,Antivirus,68
USA,2020,Phishing,Banking,74.51,332766,Hacker Group,Weak Passwords,Antivirus,53
India,2016,Phishing,Banking,43.81,250482,Insider,Weak Passwords,VPN,20
Brazil,2021,DDoS,Banking,84.41,230110,Unknown,Social Engineering,Antivirus,51
Japan,2016,Phishing,Banking,82.93,36797,Insider,Unpatched Software,VPN,2
India,2015,SQL Injection,Banking,95.81,42883,Unknown,Zero-day,Encryption,37
USA,2020,Phishing,Banking,44.08,708034,Unknown,Zero-day,AI-based Detection,39
Japan,2015,SQL Injection,Banking,73.94,274703,Nation-state,Social Engineering,Encryption,6
Germany,2020,DDoS,Banking,64.64,735855,Insider,Unpatched Software,Firewall,23
Germany,2017,Phishing,Banking,69.85,253058,Hacker Group,Social Engineering,Encryption,44
China,2023,SQL Injection,Banking,2.46,95779,Nation-state,Zero-day,VPN,43
UK,2020,SQL Injection,Banking,73.69,522097,Hacker Group,Weak Passwords,VPN,63
Germany,2018,SQL Injection,Banking,81.33,508544,Insider,Unpatched Software,VPN,45
UK,2016,DDoS,Banking,61.15,219846,Insider,Social Engineering,AI-based Detection,13
Russia,2023,Phishing,Banking,9.24,612761,Nation-state,Unpatched Software,Encryption,71
UK,2019,SQL Injection,Banking,79.34,455556,Insider,Social Engineering,Firewall,1
Australia,2021,Ransomware,Banking,24.33,77845,Insider,Social Engineering,AI-based Detection,26
Germany,2018,Man-in-the-Middle,Banking,23.32,524693,Unknown,Unpatched Software,VPN,63
Germany,2023,Man-in-the-Middle,Banking,80.97,289046,Nation-state,Zero-day,Encryption,41
France,2022,Phishing,Banking,69.99,366596,Insider,Weak Passwords,AI-based Detection,65
Japan,2020,SQL Injection,Banking,70.14,575065,Insider,Weak Passwords,Encryption,61
Russia,2022,Ransomware,Banking,50.11,851222,Insider,Weak Passwords,Encryption,16
France,2016,DDoS,Banking,25.81,132286,Insider,Unpatched Software,Antivirus,66
France,2023,SQL Injection,Banking,46.58,659062,Unknown,Unpatched Software,Antivirus,42
UK,2019,Phishing,Banking,84.5,828382,Hacker Group,Weak Passwords,AI-based Detection,4
Australia,2019,Phishing,Banking,1.13,507976,Hacker Group,Zero-day,AI-based Detection,70
India,2018,DDoS,Banking,43.45,180980,Hacker Group,Unpatched Software,AI-based Detection,15
Germany,2020,SQL Injection,Banking,65.24,202102,Insider,Unpatched Software,Antivirus,54
India,2015,Ransomware,Banking,81.81,41635,Nation-state,Unpatched Software,Encryption,37
China,2021,Man-in-the-Middle,Banking,85.26,812101,Insider,Social Engineering,VPN,52
Germany,2017,Man-in-the-Middle,Banking,88.03,587213,Unknown,Weak Passwords,AI-based Detection,32
France,2017,Phishing,Banking,15.14,276541,Hacker Group,Social Engineering,AI-based Detection,16
Germany,2022,Phishing,Banking,31.73,397919,Nation-state,Social Engineering,Encryption,22
India,2020,SQL Injection,Banking,89.8,895388,Insider,Social Engineering,AI-based Detection,54
Russia,2024,Man-in-the-Middle,Banking,93.13,414192,Nation-state,Weak Passwords,Firewall,34
UK,2022,Phishing,Banking,18.45,848022,Hacker Group,Social Engineering,Antivirus,10
Australia,2017,SQL Injection,Banking,7.21,526324,Insider,Unpatched Software,VPN,39
Japan,2020,Phishing,Banking,39.33,257190,Insider,Unpatched Software,Encryption,14
Brazil,2020,Ransomware,Banking,99.9,429566,Nation-state,Zero-day,AI-based Detection,54
USA,2016,Phishing,Banking,38.58,447486,Insider,Weak Passwords,Encryption,7
Russia,2024,Ransomware,Banking,80.29,507258,Nation-state,Social Engineering,Antivirus,30
Australia,2020,Ransomware,Banking,97.48,647303,Insider,Zero-day,Antivirus,37
UK,2021,Ransomware,Banking,4.22,65148,Nation-state,Weak Passwords,VPN,15
USA,2021,Man-in-the-Middle,Banking,64.96,485702,Unknown,Unpatched Software,Firewall,51
USA,2018,DDoS,Banking,31.54,513005,Unknown,Social Engineering,VPN,62
Brazil,2021,DDoS,Banking,96.23,649383,Unknown,Weak Passwords,Encryption,59
Germany,2022,SQL Injection,Banking,89.74,155736,Nation-state,Social Engineering,Encryption,63
France,2021,Ransomware,Banking,27.1,199832,Nation-state,Weak Passwords,Antivirus,54
USA,2019,Ransomware,Banking,47.25,451510,Hacker Group,Zero-day,VPN,45
UK,2016,Ransomware,Banking,92.39,61764,Hacker Group,Social Engineering,Encryption,38
UK,2015,SQL Injection,Banking,6.96,474585,Nation-state,Unpatched Software,Firewall,34
India,2018,Phishing,Banking,71.58,31733,Hacker Group,Unpatched Software,Encryption,49
Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64
Russia,2017,SQL Injection,Banking,33.84,442940,Nation-state,Unpatched Software,AI-based Detection,7
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59
India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66
UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69
Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20
France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55
USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30
China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50
Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15
France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25
UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67
Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47
USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35
Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14
USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70
Brazil,2015,DDoS,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24
Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29
Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72
USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48
India,2019,DDoS,Banking,58.96,891815,Unknown,Weak Passwords,Antivirus,19
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16
USA,2023,SQL Injection,Banking,30.66,749609,Nation-state,Zero-day,AI-based Detection,28
Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62
Australia,2021,Man-in-the-Middle,Banking,82.04,828293,Insider,Weak Passwords,Antivirus,64
France,2015,DDoS,Banking,85.36,50427,Hacker Group,Zero-day,Encryption,5
Brazil,2019,Ransomware,Banking,88.63,701522,Insider,Social Engineering,VPN,10
India,2022,Man-in-the-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69
Russia,2021,DDoS,Banking,94.48,281900,Hacker Group,Zero-day,Antivirus,1
China,2019,Man-in-the-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43
Brazil,2016,Man-in-the-Middle,Banking,43.45,489853,Nation-state,Zero-day,AI-based Detection,28
USA,2023,Malware,Banking,13.99,109083,Nation-state,Weak Passwords,Antivirus,49
Australia,2018,SQL Injection,Banking,71.01,840106,Insider,Weak Passwords,VPN,44
France,2022,DDoS,Banking,51.33,970775,Insider,Unpatched Software,AI-based Detection,21
Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5
UK,2021,Malware,Banking,73.02,731722,Hacker Group,Weak Passwords,VPN,28
Germany,2018,Phishing,Banking,88.73,436597,Insider,Unpatched Software,AI-based Detection,33
USA,2015,SQL Injection,Banking,42.77,117454,Insider,Unpatched Software,Firewall,19
France,2019,SQL Injection,Banking,98.04,278315,Unknown,Unpatched Software,VPN,3
India,2019,Ransomware,Banking,89.41,453441,Hacker Group,Unpatched Software,VPN,29
Russia,2019,Man-in-the-Middle,Banking,26.02,565292,Insider,Unpatched Software,Antivirus,27
France,2015,Malware,Banking,20.27,987350,Insider,Zero-day,Antivirus,4
China,2021,Man-in-the-Middle,Banking,33.3,935265,Nation-state,Unpatched Software,Firewall,20
Japan,2023,SQL Injection,Banking,43.96,459922,Nation-state,Zero-day,Encryption,12
UK,2020,Ransomware,Banking,53.03,528708,Unknown,Social Engineering,VPN,14
Germany,2015,Malware,Banking,56.13,526658,Nation-state,Weak Passwords,VPN,38
India,2022,DDoS,Banking,13.97,762440,Nation-state,Unpatched Software,AI-based Detection,19
China,2021,Malware,Banking,92.2,248859,Nation-state,Social Engineering,Antivirus,33
China,2015,Man-in-the-Middle,Banking,66.47,623301,Hacker Group,Social Engineering,VPN,40
Russia,2015,Phishing,Banking,4.59,720643,Unknown,Social Engineering,Firewall,19
USA,2017,DDoS,Banking,98.07,276199,Insider,Weak Passwords,Antivirus,28
UK,2020,SQL Injection,Banking,40.31,760892,Hacker Group,Zero-day,VPN,22
Russia,2023,Ransomware,Banking,54.09,514319,Hacker Group,Zero-day,Firewall,37
Germany,2017,Phishing,Banking,10.56,556014,Nation-state,Unpatched Software,Encryption,11
USA,2018,Phishing,Banking,29.35,724633,Hacker Group,Weak Passwords,Encryption,26
Japan,2021,Phishing,Banking,94.32,755165,Hacker Group,Social Engineering,Antivirus,28
China,2024,DDoS,Banking,99.99,755185,Unknown,Weak Passwords,Encryption,20
Brazil,2021,Man-in-the-Middle,Banking,3.69,566386,Insider,Unpatched Software,Encryption,45
Australia,2022,Ransomware,Banking,32.56,979382,Nation-state,Social Engineering,Antivirus,43
Russia,2022,Man-in-the-Middle,Banking,53.95,846546,Unknown,Unpatched Software,VPN,51
Brazil,2016,Man-in-the-Middle,Banking,70.89,378949,Unknown,Weak Passwords,AI-based Detection,67
